,RandomForest,XGBoost
acc_x_mean,0.08348304031388537,0.078661755
acc_x_median,0.05016704476118878,0.03408687
acc_x_std,0.02249843174693084,0.011144693
acc_x_min,0.07670962236139041,0.018880634
acc_x_max,0.036416025192038314,0.019471282
acc_x_rms,0.03425753695970942,0.03040039
acc_y_mean,0.008055765154027545,0.004971843
acc_y_median,0.006368446185227174,0.0059372503
acc_y_std,0.012947769196318399,0.009391584
acc_y_min,0.02063071710145298,0.009654144
acc_y_max,0.03440126023973442,0.016265603
acc_y_rms,0.009565602922164523,0.005378509
acc_z_mean,0.006254465939051794,0.004630501
acc_z_median,0.007130782737348088,0.01005958
acc_z_std,0.04067343599605254,0.015974509
acc_z_min,0.06019293763452574,0.014649074
acc_z_max,0.05858710153220176,0.021082282
acc_z_rms,0.011790990121678483,0.0035087806
acc_mag_mean,0.00806072821128497,0.01147529
acc_mag_median,0.011036748916128578,0.0074635837
acc_mag_std,0.045552740373483315,0.020980299
acc_mag_min,0.03790201513561927,0.0077373437
acc_mag_max,0.1633210578979802,0.5593043
acc_mag_rms,0.014500016274486457,0.010343594
gyr_mag_mean,0.010856334299499797,0.004931005
gyr_mag_median,0.012213200288602694,0.01995764
gyr_mag_std,0.013185667948608317,0.012338644
gyr_mag_min,0.011765354793940686,0.0099733705
gyr_mag_max,0.07911750853979344,0.0110956915
gyr_mag_rms,0.012357651225645581,0.010249867
